Reference, Value, Footprint, Datasheet, Descripcion, Fabricante, Nro. parte, Digikey/Mouser, Desc, Manf, Manf#, Digikey#
R9,10K,chip_rlc:r_0402,,RES SMD 10K OHM 5% 1/16W 0402,Yageo,RC0402JR-0710KL,311-10KJRCT-ND,,,,
R12,10K,chip_rlc:r_0402,,RES SMD 10K OHM 5% 1/16W 0402,Yageo,RC0402JR-0710KL,311-10KJRCT-ND,,,,
R18,10K,chip_rlc:r_0402,,RES SMD 10K OHM 5% 1/16W 0402,Yageo,RC0402JR-0710KL,311-10KJRCT-ND,,,,
R30,10K,chip_rlc:r_0402,,RES SMD 10K OHM 5% 1/16W 0402,Yageo,RC0402JR-0710KL,311-10KJRCT-ND,,,,
R31,10K,chip_rlc:r_0402,,RES SMD 10K OHM 5% 1/16W 0402,Yageo,RC0402JR-0710KL,311-10KJRCT-ND,,,,
R33,10K,chip_rlc:r_0402,,RES SMD 10K OHM 5% 1/16W 0402,Yageo,RC0402JR-0710KL,311-10KJRCT-ND,,,,
R28,10K,chip_rlc:r_0402,,RES SMD 10K OHM 5% 1/16W 0402,Yageo,RC0402JR-0710KL,311-10KJRCT-ND,,,,
R29,10K,chip_rlc:r_0402,,RES SMD 10K OHM 5% 1/16W 0402,Yageo,RC0402JR-0710KL,311-10KJRCT-ND,,,,
R32,10K,chip_rlc:r_0402,,RES SMD 10K OHM 5% 1/16W 0402,Yageo,RC0402JR-0710KL,311-10KJRCT-ND,,,,
R39,10K,chip_rlc:r_0402,,RES SMD 10K OHM 5% 1/16W 0402,Yageo,RC0402JR-0710KL,311-10KJRCT-ND,,,,
R35,10K,chip_rlc:r_0402,,RES SMD 10K OHM 5% 1/16W 0402,Yageo,RC0402JR-0710KL,311-10KJRCT-ND,,,,
R37,10K,chip_rlc:r_0402,,RES SMD 10K OHM 5% 1/16W 0402,Yageo,RC0402JR-0710KL,311-10KJRCT-ND,,,,
R38,10K,chip_rlc:r_0402,,RES SMD 10K OHM 5% 1/16W 0402,Yageo,RC0402JR-0710KL,311-10KJRCT-ND,,,,
R36,10K,chip_rlc:r_0402,,RES SMD 10K OHM 5% 1/16W 0402,Yageo,RC0402JR-0710KL,311-10KJRCT-ND,,,,
R49,10K,chip_rlc:r_0402,,RES SMD 10K OHM 5% 1/16W 0402,Yageo,RC0402JR-0710KL,311-10KJRCT-ND,,,,
R50,10K,chip_rlc:r_0402,,RES SMD 10K OHM 5% 1/16W 0402,Yageo,RC0402JR-0710KL,311-10KJRCT-ND,,,,
R52,10K,chip_rlc:r_0402,,RES SMD 10K OHM 5% 1/16W 0402,Yageo,RC0402JR-0710KL,311-10KJRCT-ND,,,,
R6,10K 1%,chip_rlc:r_0402,,RES SMD 10K OHM 1% 1/16W 0402,Yaego,RC0402FR-0710KL,311-10.0KLRCT-ND,,,,
C1,10nF,chip_rlc:c_0603,,CAP CER 10000PF 25V C0G 0603,TDK Corporation,C1608C0G1E103J080AA,445-2664-1-ND,,,,
C10,10uF,chip_rlc:c_0603,,CAP CER 10UF 6.3V X5R 0603,Taiyo Yuden,JMK107BJ106MA-T,587-1256-1-ND,,,,
C11,10uF,chip_rlc:c_0603,,CAP CER 10UF 6.3V X5R 0603,Taiyo Yuden,JMK107BJ106MA-T,587-1256-1-ND,,,,
C29,10uF,chip_rlc:c_0603,,CAP CER 10UF 6.3V X5R 0603,Taiyo Yuden,JMK107BJ106MA-T,587-1256-1-ND,,,,
C36,10uF,chip_rlc:c_0603,,CAP CER 10UF 6.3V X5R 0603,Taiyo Yuden,JMK107BJ106MA-T,587-1256-1-ND,,,,
C18,10uF 25V,chip_rlc:c_0805,,CAP CER 10UF 25V X5R 0805,Taiyo Yuden,TMK212BBJ106KG-T,587-2985-6-ND,,,,
L1,10uH,inductor:SRN6045,,10µH Shielded Wirewound Inductor 2.5A 58.6 mOhm Max Nonstandard,Bourns Inc,SRN6045-100M,SRN6045-100MCT-ND,,,,
R2,"13,7k",chip_rlc:r_0402,,RES SMD 13.7K OHM 1% 1/16W 0402,Yageo,RC0402FR-0713K7L,311-13.7KLRCT-ND,,,,
C21,150 pF,chip_rlc:c_0402,,CAP CER 150PF 50V C0G/NP0 0402,Murata,GRM1555C1H151JA01D,490-3229-1-ND,,,,
Y1,16M,xtal-res-osc:XTAL_32x25,,CRYSTAL 16.0000MHZ 8PF SMD,TXC,7M-16.000MAHV-T,887-2555-1-ND,,,,
C33,16pF,chip_rlc:c_0402,,CAP CER 16PF 50V C0G/NP0 0402,Murata,GRM1555C1H160JA01D,490-5926-1-ND,,,,
C32,16pF,chip_rlc:c_0402,,CAP CER 16PF 50V C0G/NP0 0402,Murata,GRM1555C1H160JA01D,490-5926-1-ND,,,,
R7,1K,chip_rlc:r_0402,,RES SMD 1K OHM 5% 1/16W 0402,Yageo,RC0402JR-071KL,311-1.0KJRCT-ND,,,,
R13,1K,chip_rlc:r_0402,,RES SMD 1K OHM 5% 1/16W 0402,Yageo,RC0402JR-071KL,311-1.0KJRCT-ND,,,,
R41,1K,chip_rlc:r_0402,,RES SMD 1K OHM 5% 1/16W 0402,Yageo,RC0402JR-071KL,311-1.0KJRCT-ND,,,,
R42,1K,chip_rlc:r_0402,,RES SMD 1K OHM 5% 1/16W 0402,Yageo,RC0402JR-071KL,311-1.0KJRCT-ND,,,,
R53,1K,chip_rlc:r_0402,,RES SMD 1K OHM 5% 1/16W 0402,Yageo,RC0402JR-071KL,311-1.0KJRCT-ND,,,,
C34,1uF,chip_rlc:c_0402,,CAP CER 1UF 6.3V X5R 0402,Taiyo Yuden,JMK105BJ105KV-F,587-1231-1-ND,,,,
C5,1uF,chip_rlc:c_0402,,CAP CER 1UF 6.3V X5R 0402,Taiyo Yuden,JMK105BJ105KV-F,587-1231-1-ND,,,,
C28,1uF,chip_rlc:c_0402,,CAP CER 1UF 6.3V X5R 0402,Taiyo Yuden,JMK105BJ105KV-F,587-1231-1-ND,,,,
C30,1uF,chip_rlc:c_0402,,CAP CER 1UF 6.3V X5R 0402,Taiyo Yuden,JMK105BJ105KV-F,587-1231-1-ND,,,,
C31,1uF,chip_rlc:c_0402,,CAP CER 1UF 6.3V X5R 0402,Taiyo Yuden,JMK105BJ105KV-F,587-1231-1-ND,,,,
R34,"2,7K",chip_rlc:r_0402,,RES SMD 2.7K OHM 5% 1/16W 0402,Yageo,RC0402JR-072K7L,311-2.7KJRCT-ND,,,,
F1,2A,misc:ptc_1210,,FUSE BOARD MOUNT 2A 63VDC 1206,Littelfuse,1206SFF200F/63-2,1206SFF200F/63-2CT-ND,,,,
Q1,2N7002,to-sod-sot:SOT-23,,MOSFET N-CH 60V 260MA SOT-23,ON Semiconductor,2N7002ET1G,2N7002ET1GOSCT-ND,,,,
Q6,2N7002,to-sod-sot:SOT-23,,MOSFET N-CH 60V 260MA SOT-23,ON Semiconductor,2N7002ET1G,2N7002ET1GOSCT-ND,,,,
Q7,2N7002,to-sod-sot:SOT-23,,MOSFET N-CH 60V 260MA SOT-23,ON Semiconductor,2N7002ET1G,2N7002ET1GOSCT-ND,,,,
Q8,2N7002,to-sod-sot:SOT-23,,MOSFET N-CH 60V 260MA SOT-23,ON Semiconductor,2N7002ET1G,2N7002ET1GOSCT-ND,,,,
Q10,2N7002,to-sod-sot:SOT-23,,MOSFET N-CH 60V 260MA SOT-23,ON Semiconductor,2N7002ET1G,2N7002ET1GOSCT-ND,,,,
C4,47uF,chip_rlc:c_1206,,47µF ±20% 25V Ceramic Capacitor X5R 1206 (3216 Metric),TDK Corporation,C3216X5R1E476M160AC,445-8047-1-ND,,,,
C6,47uF,chip_rlc:c_1206,,47µF ±20% 25V Ceramic Capacitor X5R 1206 (3216 Metric),TDK Corporation,C3216X5R1E476M160AC,445-8047-1-ND,,,,
C7,47uF,chip_rlc:c_1206,,47µF ±20% 25V Ceramic Capacitor X5R 1206 (3216 Metric),TDK Corporation,C3216X5R1E476M160AC,445-8047-1-ND,,,,
C9,47uF,chip_rlc:c_1206,,47µF ±20% 25V Ceramic Capacitor X5R 1206 (3216 Metric),TDK Corporation,C3216X5R1E476M160AC,445-8047-1-ND,,,,
R10,510 0.5W,chip_rlc:r_0805,,RES SMD 510 OHM 5% 1/2W 0805,Panasonic Electronic Components,ERJ-P06J511V,P510ADCT-ND,,,,
R14,510 0.5W,chip_rlc:r_0805,,RES SMD 510 OHM 5% 1/2W 0805,Panasonic Electronic Components,ERJ-P06J511V,P510ADCT-ND,,,,
C19,560 pF,chip_rlc:c_0402,,CAP CER 560PF 50V X7R 0402,Yageo,CC0402KRX7R9BB561,311-1029-1-ND,,,,
C20,560 pF,chip_rlc:c_0402,,CAP CER 560PF 50V X7R 0402,Yageo,CC0402KRX7R9BB561,311-1029-1-ND,,,,
C22,560 pF,chip_rlc:c_0402,,CAP CER 560PF 50V X7R 0402,Yageo,CC0402KRX7R9BB561,311-1029-1-ND,,,,
C23,560 pF,chip_rlc:c_0402,,CAP CER 560PF 50V X7R 0402,Yageo,CC0402KRX7R9BB561,311-1029-1-ND,,,,
R16,"6,49K",chip_rlc:r_0805,,RES SMD 6.49K OHM 1% 1/8W 0805,Yageo,RC0805FR-076K49L,311-6.49KCRCT-ND,,,,
R5,62k 1%,chip_rlc:r_0402,,RES SMD 62K OHM 1% 1/16W 0402,Yageo,RC0402FR-0762KL,311-62.0KLRCT-ND,,,,
